"","V1","Stolen From","Type","ZIP","Offense","Make","Caliber","Address","Date","Status"
"369","2","APARTMENT","SHOT GUN","77096","BURGLARY HABITATION","ESCORT","12","9801 FONDREN  RD,houston ,Texas ,77096","5/21/2010","S"
"370","3","RESIDENCE/HOUSE","PISTOL, REVOLVER","77087","BURGLARY HABITATION","UNKNOWN","38 CAL","7817 OAK VISTA  ,houston ,Texas ,77087","7/16/2008","S"
"371","4","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","32 CAL","5800 WESTHEIMER  RD,houston ,Texas ,77057","8/17/2009","S"
"372","5","RESTAURANT/CAFETERIA PARK","PISTOL, REVOLVER","77034","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","HAWES","22 CAL","12933 GULF E FWY SER,houston ,Texas ,77034","10/22/2011","S"
"373","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77008","THEFT/(FEL 3RD DEG)","SMITH & WESSON","38 CAL","704 25TH E ST,houston ,Texas ,77008","1/20/2011","S"
"374","7","RESIDENCE/HOUSE","DEER RIFLE","77018","THEFT/(FEL STATE JAIL)","UNKNOWN","","1930 DE MILO  DR,houston ,Texas ,77018","2/19/2008","S"
"375","8","APARTMENT","REVOLVER","77096","BURGLARY HABITATION","COLT","357","8849 BRAESMONT  DR,houston ,Texas ,77096","3/25/2010","S"
"376","9","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77013","BURGLARY HABITATION","UNKNOWN","221","11030 FLEMING  DR,houston ,Texas ,77013","5/8/2012","S"
"377","10","STRIP BUSINESS CENTER PAR","PISTOL, REVOLVER","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","SMITH & WESSON","38","3800 RICHMOND  AVE,houston ,Texas ,77027","12/1/2011","S"
"378","1","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","SIG SAUER","45","301 CRAWFORD  ST,houston ,Texas ,77002","3/3/2012","S"
"379","2","RESIDENCE/HOUSE","PISTOL, REVOLVER","77053","THEFT/(MISD B)","COLT","38 CAL","4911 CROKER RIDGE  RD,houston ,Texas ,77053","2/19/2011","S"
"380","3","BARBER AND BEAUTY SHOPS","AMMUNITION","77087","THEFT (FIREARM) STATE JAIL-FELONY ONLY(JUV)","TAURUS","0.9","1115 EVERGREEN  DR,houston ,Texas ,77087","8/17/2010","S"
"381","4","RESTAURANT/CAFETERIA PARK","PISTOL, FULLY AUTOMATIC","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","45 CAL","11998 GREENSPOINT  DR,houston ,Texas ,77060","8/23/2008","S"
"382","5","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77029","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","RUGER","380 CAL","11900 EAST S FWY SER,houston ,Texas ,77029","9/14/2009","S"
"383","6","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77061","THEFT (AUTO CAR NOT TRUCK)","COLT","9","8319 GLENBRAE  ST,houston ,Texas ,77061","10/27/2011","S"
"384","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77072","BURGLARY HABITATION","SMITH & WESSON","40 CAL","11222 SANDSTONE  ,houston ,Texas ,77072","5/24/2010","S"
"385","8","APARTMENT","","77075","BURGLARY HABITATION","","9","9240 NATHANIEL  ST,houston ,Texas ,77075","7/3/2011","S"
"386","9","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77013","BURGLARY HABITATION","WINCHESTER","12 GAUGE","10702 FILEY  ,houston ,Texas ,77013","6/23/2010","S"
"387","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77009","BURGLARY HABITATION","SMITH & WESSON","357","1131 EUCLID  ST,houston ,Texas ,77009","8/9/2012","S"
"388","1","RESIDENCE/HOUSE","","77339","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","AUTO ORDANCE","45","3402 SYCAMORE SHADOWS  DR,houston ,Texas ,77339","7/20/2010","S"
"389","2","GYM PARKING LOT","PISTOL, SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","COLT","45 CAL","5721 WESTHEIMER  RD,houston ,Texas ,77057","12/15/2008","S"
"390","3","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77099","BURGLARY HABITATION","UNKNOWN","12 GAUGE","12334 SOUTH  DR,houston ,Texas ,77099","11/11/2009","S"
"391","4","CONVENIENCE STORE","REVOLVER 5 SHOT","77045","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","TAURUS","357","4411 OREM W DR,houston ,Texas ,77045","12/14/2011","S"
"392","5","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77093","BURGLARY HABITATION","REMINGTON ARMS CO INC","270 CAL","2518 KEELAND  ,houston ,Texas ,77093","10/14/2010","S"
"393","6","RESIDENCE/HOUSE","PISTOL X3","77013","BURGLARY HABITATION","REMINGTON ARMS CO INC","*","12410 EASTBROOK  ,houston ,Texas ,77013","10/6/2010","S"
"394","7","RESTAURANT/CAFETERIA","SHOTGUN","77047","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","","12","1002 ALMEDA GENOA  RD,houston ,Texas ,77047","9/5/2009","S"
"395","8","RESTAURANT/CAFETERIA PARK","BLACK 9MM HAND GUN","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL 3RD DEG)","TAURUS","9","2615 ELLA  BLVD,houston ,Texas ,77008","8/27/2009","S"
"396","9","UNKNOWN","SHOTGUN","77048","THEFT","SAIGA","12","4305 SCHURMIER  RD,houston ,Texas ,77048","7/29/2010","S"
"397","10","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77019","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","SMITH & WESSON","9 MILL","802 CLEVELAND  ST,houston ,Texas ,77019","7/27/2010","C"
"398","1","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77099","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","12500 BROOKGLADE  CIR,houston ,Texas ,77099","7/15/2011","C"
"399","2","OFFICE BUILDING","AMMUNITION","77060","BURGLARY BUILDING","12 LIVE ROUNDS","0.38","12961 NORTH  FWY,houston ,Texas ,77060","6/26/2010","S"
"400","3","APARTMENT","PISTOL, SEMIAUTOMATIC","77051","LOST OR STOLEN","JAMINEZ","9 MILL","2910 REED  RD,houston ,Texas ,77051","6/24/2012","L"
"401","4","ROAD/STREET/SIDEWALK","PISTOL, REVOLVER","77006","THEFT (TRUCK)","KAHR","9","3710 MANDELL  ,houston ,Texas ,77006","6/18/2012","S"
"402","5","DEPARTMENT/DISCOUNT STORE","PISTOL, SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","BERETTA","40 CAL","6159 WESTHEIMER  RD,houston ,Texas ,77057","5/8/2010","S"
"403","6","RESIDENCE/HOUSE","PISTOL, FULLY AUTOMATIC","77018","THEFT","SMITH & WESSON","20","1859 HEWITT  ,houston ,Texas ,77018","5/17/2012","S"
"404","7","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77036","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","RUGER","9 MILL","10003 FORUM WEST  DR,houston ,Texas ,77036","4/8/2009","C"
"405","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77338","BURGLARY HABITATION","UNKNOWN","45 CAL","20919 BIRNAM WOOD  BLVD,houston ,Texas ,77338","4/14/2011","S"
"406","9","RESIDENCE/HOUSE","","77074","BURGLARY HABITATION","SMITH & WESSON","","8806 BOB WHITE  DR,houston ,Texas ,77074","3/9/2010","S"
"407","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77061","BURGLARY HABITATION","SIG SAUER","40 CAL","7408 BRACE  ST,houston ,Texas ,77061","3/11/2011","S"
"408","1","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77339","BURGLARY MOTOR VEHICLE (NON PARTS/CONTENTS)(MISD A)","MOSSBERG","3006CAL","1807 CHESTNUT RIDGE  DR,houston ,Texas ,77339","2/5/2011","S"
"409","2","APARTMENT","PISTOL, REVOLVER","77047","BURGLARY HABITATION","AIRLITE","38 CAL","10922 SEGREST  DR,houston ,Texas ,77047","2/1/2011","S"
"410","3","RESIDENCE/HOUSE","SHOTGUN, OVER AND UNDER","77006","BURGLARY HABITATION","NIKKO","12 GAUGE","215 PORTLAND  ,houston ,Texas ,77006","1/6/2012","S"
"411","4","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77043","BURGLARY HABITATION","WINCHESTER","16 GAUGE","2510 RIATA  LN,houston ,Texas ,77043","1/1/2009","S"
"412","5","MOBILE HOME","357 CAL","77047","BURGLARY HABITATION","","","14111 DEL PAPA  ST,houston ,Texas ,77047","9/16/2008","S"
"413","6","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77035","BURGLARY HABITATION","REMINGTON ARMS CO INC","UNKNOWN","5734 ETTRICK  DR,houston ,Texas ,77035","8/17/2009","C"
"414","7","TRUNK OF FRIEND'S VEHICLE","12 GAUGE SHOTGUN","77077","THEFT/(MISD B)","MOSSBERG O F, & SONS","","2201 HAYES  RD,houston ,Texas ,77077","7/29/2011","S"
"415","8","RESIDENCE/HOUSE","","77099","BURGLARY HABITATION","RUGER 22 W INTERCHANGEAB","","8711 DAIRY ASHFORD S ,houston ,Texas ,77099","6/3/2011","S"
"416","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77089","BURGLARY HABITATION(GC)","JENNINGS","22","11431 SAGEDOWNE  LN,houston ,Texas ,77089","6/10/2010","S"
"417","10","RESIDENCE/HOUSE","RIFLE, SEMIAUTOMATIC","77053","BURGLARY HABITATION","CENTURY INTERNATIONAL","7.62X39","4943 BRYANT RIDGE  RD,houston ,Texas ,77053","5/8/2012","S"
"418","1","PRIVATE RESIDENCE","PISTOL, REVOLVER","77008","BURGLARY BUILDING","UNKNOWN","38 CAL","1109 RUTLAND  ,houston ,Texas ,77008","3/25/2009","S"
"419","2","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77082","BURGLARY HABITATION","SAKO","25-06 CAL","3034 MISTY PARK  ,houston ,Texas ,77082","2/19/2010","S"
"420","3","RENTAL STORAGE FACILITY","PISTOL, REVOLVER","77092","BURGLARY BUILDING","SMITH & WESSON","357 CAL","5323 MILWEE  ST,houston ,Texas ,77092","1/19/2009","S"
"421","4","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77096","BURGLARY HABITATION","BROWNING ARMS CO","12 GAUGE","5006 LOCH LOMOND  ,houston ,Texas ,77096","11/22/2008","S"
"422","5","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","9 MILL","1753 POST OAK  BLVD,houston ,Texas ,77056","11/3/2010","S"
"423","6","WAREHOUSE","PISTOL REVOLVER","77061","BURGLARY BUILDING","SW","38","6820 EASTHAVEN  BLVD,houston ,Texas ,77061","7/1/2009","S"
"424","7","RESIDENCE/HOUSE","RIFLE, SEMIAUTOMATIC","77072","BURGLARY HABITATION","UNKNOWN","0.223","11729 LOGAN RIDGE  DR,houston ,Texas ,77072","7/30/2008","S"
"425","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77077","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","40 CAL","1327 TRACE  DR,houston ,Texas ,77077","9/3/2009","S"
"426","9","UNKNOWN","HAND GUN","77002","LOST OR STOLEN","UNKNOWN","","1122 TRAVIS  ST,houston ,Texas ,77002","12/12/2008","S"
"427","10","PAWN/RESALE SHOP/FLEA MAR","RIFLE","77055","BURGLARY BUILDING","SAVAGE","30-06","7640 LONG POINT  RD,houston ,Texas ,77055","3/8/2010","C"
"428","1","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77007","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","4122 FLOYD  ST,houston ,Texas ,77007","2/7/2011","S"
"429","2","DRIVEWAY","REVOLVER","77088","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","ROSSI","357","1330 SADDLE ROCK  DR,houston ,Texas ,77088","4/4/2008","U"
"430","3","APARTMENT","","77007","BURGLARY HABITATION","","40","320 JACKSON HILL  ST,houston ,Texas ,77007","5/7/2009","S"
"431","4","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77053","THEFT/LOSS $200.00 OR MORE - F","SPRINGFIELD FIREARMS","9 MILL","4647 CALLERY CREEK  DR,houston ,Texas ,77053","10/10/2009","S"
"432","5","PARKING LOT","PISTOL","77024","BURGLARY OF A MOTOR VEHICLE","SMITH & WESSON","357","9777 KATY  FWY,houston ,Texas ,77024","11/8/2011","S"
"433","6","APARTMENT","PISTOL","77057","BURGLARY HABITATION","RUGER","9","2815 GREENRIDGE  DR,houston ,Texas ,77057","12/30/2008","S"
"434","7","AUTO REPAIR","PISTOL, SEMIAUTOMATIC","77080","LOST OR STOLEN","INTERARMS LTD INTERARMCO","380 CAL","2025 CAMPBELL  RD,houston ,Texas ,77080","12/5/2009","C"
"435","8","APARTMENT","SHOTGUN, DOUBLE BARREL","77063","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","9449 BRIAR FOREST  DR,houston ,Texas ,77063","12/6/2011","S"
"436","9","RESIDENCE/HOUSE","AMMUNITION","77080","BURGLARY HABITATION","UNKNOWN","9MM","9006 PITNER  ,houston ,Texas ,77080","5/10/2012","S"
"437","10","APARTMENT","PISTOL, SEMIAUTOMATIC","77093","INVESTIGATION (BURGLARY AND THEFT)","RUGER","9","2450 ALDINE WESTFIELD  RD,houston ,Texas ,77093","4/8/2012","S"
"438","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77051","LOST OR STOLEN","BRYCO","380 CAL","4549 EDFIELD  ST,houston ,Texas ,77051","3/2/2011","S"
"439","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77045","BURGLARY HABITATION","SMITH & WESSON","9 MILL","13214 TOWNWOOD  DR,houston ,Texas ,77045","1/26/2011","S"
"440","3","APARTMENT","PISTOL, SEMIAUTOMATIC","77063","BURGLARY HABITATION","JENNINGS FIREARMS CO","9 MILL","9449 BRIAR FOREST  DR,houston ,Texas ,77063","10/26/2011","S"
"441","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77338","BURGLARY HABITATION","TAURUS","9 MILL","9494 HUMBLE WESTFIELD  RD,houston ,Texas ,77338","9/20/2011","S"
"442","5","APARTMENT PARKING LOT","PISTOL, REVOLVER","77017","AGGRAVATED ROBBERY (S.B.I.)","UNKNOWN","UNKNOWN","8250 PARK PLACE  BLVD,houston ,Texas ,77017","8/12/2011","S"
"443","6","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77077","BURGLARY HABITATION","GLOCK","9 MILL","14222 OVERBROOK  LN,houston ,Texas ,77077","7/17/2012","S"
"444","7","RESIDENCE/HOUSE","PISTOL, REVOLVER","77004","BURGLARY HABITATION","UNKNOWN","32 CAL","3305 SOUTHMORE  BLVD,houston ,Texas ,77004","6/11/2012","S"
"445","8","RESTAURANT/CAFETERIA PARK","","77077","THEFT (AUTO)/(FEL STATE JAIL)","BERETTA","","11685 WESTHEIMER  RD,houston ,Texas ,77077","3/4/2010","S"
"446","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77063","BURGLARY HABITATION","WALTHER","9 MILL","8990 RICHMOND  AVE,houston ,Texas ,77063","2/15/2010","S"
"447","10","RESTAURANT/CAFETERIA PARK","AMMUNITION","77092","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","UNKNOWN","9MM","10400 NORTHWEST  FWY,houston ,Texas ,77092","2/28/2010","S"
"448","1","APARTMENT","RIFLE, BOLT ACTION","77035","BURGLARY HABITATION","MOSSBERG O F, & SONS","30-06 CAL","10600 POST OAK S RD,houston ,Texas ,77035","2/2/2012","S"
"449","2","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77506","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","9 MILL","903 BROADWAY  ST,houston ,Texas ,77506","1/19/2012","S"
"450","3","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77339","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","40 CAL","2023 SEVEN OAKS  DR,houston ,Texas ,77339","1/26/2009","S"
"451","4","SHOPPING CENTER PARKING L","AMMUNITION","0","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","SPEER",".40 CAL","0 OUTSIDE  ,houston ,Texas ,0","1/2/2012","S"
"452","5","RESIDENCE/HOUSE","PISTOL, REVOLVER","77336","THEFT","UNKNOWN","38","410 CHERRY VALLEY  DR,houston ,Texas ,77336","5/6/2012","S"
"453","6","RESIDENCE/HOUSE","RIFLE, SEMIAUTOMATIC","77096","BURGLARY HABITATION","J C HIGGANS","12 GAUGE","5338 CAREW  ,houston ,Texas ,77096","6/2/2011","S"
"454","7","RESIDENCE/HOUSE","PISTOL, REVOLVER","77013","BURGLARY HABITATION","SMITH & WESSON","38 CAL","530 WOOD MIST  ,houston ,Texas ,77013","5/18/2012","S"
"455","8","STRIP BUSINESS CENTER PAR","PISTOL, REVOLVER","77018","INVESTIGATION (FORGERY)","SMITH & WESSON","38","3936 SHEPHERD N DR,houston ,Texas ,77018","4/17/2008","S"
"456","9","APARTMENT","RIFLE, BOLT ACTION","77084","BURGLARY HABITATION","REMINGTON ARMS CO INC","270 CAL","15200 PARK ROW  ,houston ,Texas ,77084","4/15/2011","S"
"457","10","RESIDENCE/HOUSE","RIFLE, AUTOMATIC","77056","BURGLARY BUILDING","MARLIN FIREARMS CO","22 CAL","2 BROAD OAKS E DR,houston ,Texas ,77056","3/19/2008","S"
"458","1","HOTEL PARKING GARAGE","PISTOL, SEMIAUTOMATIC","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","WALTHER","9 MILL","3131 WEST LP S E SER,houston ,Texas ,77027","3/30/2009","S"
"459","2","HOTEL/MOTEL PARKING LOT","PISTOL AUTOM","77017","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","9","9100 GULF  FWY,houston ,Texas ,77017","6/23/2008","S"
"460","3","APARTMENT","PISTOL, SEMIAUTOMATIC","77008","BURGLARY HABITATION","SMITH & WESSON","40 CAL","1700 SEASPRAY  CT,houston ,Texas ,77008","7/14/2010","S"
"461","4","APARTMENT","","77007","BURGLARY HABITATION","GLOCK","27","5017 CORNISH  ST,houston ,Texas ,77007","7/24/2012","S"
"462","5","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77336","THEFT/LOSS $200.00 OR MORE - F","BROWNING ARMS CO","22 CAL","24611 GREEN MOSS  DR,houston ,Texas ,77336","7/2/2012","S"
"463","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77079","BURGLARY HABITATION","STERLING (REVOLVERS)","38 CAL","615 RAINWOOD  DR,houston ,Texas ,77079","5/27/2009","S"
"464","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77013","THEFT (FIREARM) STATE JAIL-FELONY ONLY","SMITH & WESSON","40 CAL","615 COOLWOOD  DR,houston ,Texas ,77013","5/31/2012","U"
"465","8","APARTMENT","PISTOL, REVOLVER","77063","BURGLARY HABITATION","ROSSI,AMADEO, & CO","357 CAL","2401 LAZY HOLLOW  DR,houston ,Texas ,77063","11/3/2011","C"
"466","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77076","BURGLARY HABITATION","COBRA","380 CAL","122 HARKNESS  ST,houston ,Texas ,77076","9/22/2010","S"
"467","10","RESIDENCE/HOUSE","SHOTGUN, OVER AND UNDER","77006","BURGLARY HABITATION","BROWNING ARMS CO","12 GAUGE","1710 CALIFORNIA  ,houston ,Texas ,77006","10/4/2010","C"
"468","1","APARTMENT","PISTOL, REVOLVER","77063","BURGLARY HABITATION","SMITH & WESSON","UNKNOWN","3600 JEANETTA  ,houston ,Texas ,77063","9/4/2010","S"
"469","2","PARKING LOT","","77072","BURGLARY OF MOTOR VEHICLE","BERETTA","9","8200 WEST SAM HOUSTON S PKWY,houston ,Texas ,77072","8/9/2008","S"
"470","3","SERVICE STATION PARKING L","COIL GUN","77004","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","HATACHI","UNKNOWN","3800 FANNIN  ,houston ,Texas ,77004","6/26/2008","S"
"471","4","RESIDENCE/HOUSE","PISTOL","77053","BURGLARY HABITATION","COLT","32","16146 MALADI  DR,houston ,Texas ,77053","8/27/2008","S"
"472","5","HOTEL/MOTEL PARKING LOT","PISTOL, SEMIAUTOMATIC","77032","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","FN","5.7","15321 VANTAGE E PKWY,houston ,Texas ,77032","7/25/2008","C"
"473","6","RESIDENCE/HOUSE","","77080","BURGLARY HABITATION","","","9515 EMNORA  LN,houston ,Texas ,77080","12/17/2008","C"
"474","7","UNCLE BOB'S STORAGE","","77081","THEFT/LOSS $200.00 OR MORE - F","41 MAGNUM S.W.SIGMA","","6250 WESTWARD  ,houston ,Texas ,77081","6/13/2009","S"
"475","8","RESIDENCE/HOUSE","RIFLE, SINGLE-SHOT","77047","BURGLARY HABITATION","UNKNOWN","7 MILL","1303 ANDERSON E RD,houston ,Texas ,77047","12/11/2008","S"
"476","9","RESTAURANT/CAFETERIA","","77020","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","9999","518 EASTEX  FWY,houston ,Texas ,77020","10/31/2008","S"
"477","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77089","BURGLARY HABITATION","UNKNOWN","UNKNOWN","11034 SAGEVALLEY  DR,houston ,Texas ,77089","7/17/2009","S"
"478","1","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77053","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","380 CAL","5230 RIDGESTONE  LN,houston ,Texas ,77053","11/30/2008","S"
"479","2","STRIP BUSINESS CENTER PAR","","77079","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","AMMUNITION","","12141 KATY  FWY,houston ,Texas ,77079","12/10/2008","S"
"480","3","HOTEL/MOTEL PARKING LOT","RIFLE, BOLT ACTION","77092","THEFT (TRUCK)/LOSS $200.00 OR MORE - F","RUGER","30-06 CAL","12439 NORTHWEST  FWY,houston ,Texas ,77092","11/10/2010","S"
"481","4","RESIDENCE/HOUSE","REVO","77040","BURGLARY HABITATION","SMITH & WESSON","38","8602 TWISTING VINE  LN,houston ,Texas ,77040","6/23/2009","S"
"482","5","APARTMENT","SHOTGUN, PUMP ACTION","77055","BURGLARY HABITATION","HARRINGTON & RICHARDSON","12 GAUGE","1111 BLALOCK  RD,houston ,Texas ,77055","6/15/2012","S"
"483","6","RESIDENCE/HOUSE","SUBCOMPACT","77043","BURGLARY HABITATION","UNKNOWN","22","11423 VALLEY STREAM  DR,houston ,Texas ,77043","10/28/2011","S"
"484","7","APARTMENT","SHOTGUN, SINGLE-SHOT","77081","BURGLARY HABITATION","UNKNOWN","UNKNOWN","4807 PIN OAK PARK  ,houston ,Texas ,77081","7/22/2009","S"
"485","8","RESALE SHOP","PISTOL, SEMIAUTOMATIC","77012","BURGLARY BUILDING","UNKNOWN","380 CAL","606 78TH N ST,houston ,Texas ,77012","9/24/2011","S"
"486","9","RESTAURANT/CAFETERIA PARK","PISTOL, REVOLVER","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","TAURUS","38","3651 WESLAYAN  ,houston ,Texas ,77027","3/7/2012","S"
"487","10","RESIDENCE/HOUSE","SHOTGUN","77336","BURGLARY HABITATION","REM","25","24442 LIGHTWOODS  DR,houston ,Texas ,77336","1/1/2011","S"
"488","1","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77004","BURGLARY MOTOR VEHICLE","KEL-TEC","9 MILL","4812 LA BRANCH  ,houston ,Texas ,77004","11/12/2010","S"
"489","2","HOTEL/MOTEL PARKING LOT","SHOTGUN, SEMIAUTOMATIC","77098","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","BENELLI","12","2828 SOUTHWEST  FWY,houston ,Texas ,77098","5/9/2012","S"
"490","3","RESIDENCE/HOUSE","PISTOL, REVOLVER","77088","BURGLARY HABITATION","SMITH & WESSON","38 CAL","6702 LOG HOLLOW  DR,houston ,Texas ,77088","3/28/2010","S"
"491","4","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77045","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","HI POINT","9 MILL","14831 JEWEL MEADOW  DR,houston ,Texas ,77045","2/21/2009","S"
"492","5","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77027","BURGLARY HABITATION","BERETTA","22","4001 ESSEX  LN,houston ,Texas ,77027","1/26/2012","S"
"493","6","HARDWARE STORE PARKING LO","SHOTGUN, OVER AND UNDER","77061","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","KREIGHOFF","UNKNOWN","7994 BELLFORT  ST,houston ,Texas ,77061","9/30/2010","S"
"494","7","RESIDENCE/HOUSE","RIFLE","77033","THEFT/LOSS $200.00 OR MORE - F","","","5650 FLAMINGO  DR,houston ,Texas ,77033","8/18/2009","S"
"495","8","RESIDENCE/HOUSE","RIFLE","77072","BURGLARY HABITATION","REMINGTON ARMS CO INC","*","4302 CONTINENTAL  DR,houston ,Texas ,77072","7/17/2012","S"
"496","9","RESIDENCE/HOUSE","AMMUNITION","77043","BURGLARY HABITATION","WINCHESTER","22","1014 TRI OAKS  LN,houston ,Texas ,77043","7/15/2010","S"
"497","10","SOCIAL SERVICES/PUBLIC CH","PISTOL, REVOLVER","77011","THEFT (FIREARM) STATE JAIL-FELONY ONLY","UNKNOWN","38","7037 CAPITOL  ST,houston ,Texas ,77011","6/8/2011","S"
"498","1","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77007","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","STAR","9 MILL","404 OXFORD  ST,houston ,Texas ,77007","12/7/2009","S"
"499","2","APARTMENT","","77099","BURGLARY HABITATION","RIFLE","","10411 SOUTH  DR,houston ,Texas ,77099","10/17/2010","S"
"500","3","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77055","BURGLARY HABITATION","SMITH & WESSON","40 CAL","9223 PECOS  ,houston ,Texas ,77055","12/1/2011","S"
"501","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77087","BURGLARY HABITATION","UNKNOWN","9 MILL","7527 WESTOVER  ,houston ,Texas ,77087","12/2/2009","S"
"502","5","RESIDENCE/HOUSE","2 LOADED AR-15 MAGAZINES","77027","THEFT/(MISD B)","","","4731 INGERSOLL  ,houston ,Texas ,77027","6/2/2011","C"
